city,coeff_c
Москва,0.85
Санкт-Петербург,0.85
Новосибирск,1
Екатеринбург,1
Нижний Новгород,0.85
Казань,0.85
Самара,0.85
Омск,1
Челябинск,1
Ростов-на-Дону,1
Уфа,1
Волгоград,0.85
Пермь,0.85
Красноярск,1
Воронеж,0.85
Саратов,0.85
Краснодар,1
Тольятти,0.85
Барнаул,1
Ижевск,0.85
Ульяновск,0.85
Владивосток,0.9
Ярославль,0.85
Иркутск,1
Тюмень,1
Махачкала,0.85
Хабаровск,0.9
Оренбург,1
Новокузнецк,1
Кемерово,1
Рязань,0.85
Томск,1
Астрахань,1
Пенза,0.85
Набережные Челны,0.85
Липецк,0.85
Тула,0.85
Киров,0.85
Чебоксары,0.85
Улан-Удэ,1
Калининград,0.85
Брянск,0.85
Курск,0.85
Иваново,0.85
Магнитогорск,1
Тверь,0.85
Ставрополь,1
Севастополь,1
Нижний Тагил,1
Белгород,0.85
Архангельск,0.85
Владимир,0.85
Сочи,0.85
Курган,1
Симферополь,1
Смоленск,0.85
Калуга,0.85
Чита,1
Саранск,0.85
Орёл,0.85
Волжский,0.85
Череповец,0.85
Владикавказ,0.85
Мурманск,0.85
Сургут,1
Вологда,0.85
Тамбов,0.85
Стерлитамак,1
Грозный,0.85
Якутск,1
Кострома,0.85
Комсомольск-на-Амуре,0.9
Петрозаводск,0.85
Таганрог,1
Нижневартовск,1
Йошкар-Ола,0.85
Братск,1
Новороссийск,1
Дзержинск,0.85
Шахты,1
Нальчик,0.85
Орск,1
Сыктывкар,0.85
Нижнекамск,0.85
Ангарск,1
Старый Оскол,0.85
Великий Новгород,0.85
Балашиха,0.85
Благовещенск,0.9
Прокопьевск,1
Химки,0.85
Псков,0.85
Бийск,1
Энгельс,0.85
Рыбинск,0.85
Балаково,0.85
Северодвинск,0.85
Армавир,1
Подольск,0.85
Королёв,0.85
