city,P_1/3,P_1/2,P_1,P_2,P_5,P_10,P_20,P_50
Москва,53.8,59.2,91.0,110.0,138.0,165.0,193.0,234.0
Санкт-Петербург,41.4,46.0,73.8,96.6,124.0,145.0,169.0,200.0
Новосибирск,24.8,28.2,77.5,110.0,155.0,197.0,240.0,302.0
Екатеринбург,31.0,36.9,77.2,105.0,149.0,179.0,209.0,249.0
Нижний Новгород,49.0,58.1,86.8,108.0,118.0,131.0,151.0,180.0
Казань,27.2,30.6,64.6,95.0,135.0,174.0,217.0,281.0
Самара,45.9,55.1,76.3,81.0,91.0,105.0,117.0,131.0
Омск,37.4,44.9,79.3,109.0,136.0,166.0,193.0,232.0
Челябинск,25.1,29.6,60.1,91.8,141.0,182.0,225.0,294.0
Ростов-на-Дону,41.5,53.7,99.2,127.0,183.0,227.0,268.0,319.0
Уфа,29.4,36.8,62.2,84.0,114.0,141.0,161.0,192.0
Волгоград,32.9,42.3,88.4,119.0,144.0,178.0,212.0,259.0
Пермь,31.1,34.8,78.0,111.0,130.0,160.0,191.0,239.0
Красноярск,17.9,20.9,63.8,81.9,124.0,151.0,177.0,215.0
Воронеж,51.1,62.5,101.0,132.0,153.0,185.0,218.0,263.0
Саратов,22.0,26.4,72.7,102.0,135.0,161.0,183.0,216.0
Краснодар,60.1,71.0,118.0,151.0,195.0,238.0,280.0,344.0
Тольятти,22.1,28.9,67.4,99.0,132.0,153.0,174.0,199.0
Барнаул,24.8,28.3,70.8,94.5,139.0,170.0,205.0,255.0
Ижевск,27.8,34.2,64.0,97.7,127.0,152.0,174.0,207.0
Ульяновск,25.5,32.3,73.1,106.0,146.0,171.0,199.0,235.0
Владивосток,60.4,75.5,108.0,144.0,173.0,210.0,248.0,297.0
Ярославль,36.7,41.8,74.2,103.0,140.0,166.0,193.0,226.0
Иркутск,24.1,27.5,47.3,63.3,96.9,122.0,153.0,196.0
Тюмень,40.8,52.4,84.2,108.0,126.0,156.0,184.0,226.0
Махачкала,23.0,28.8,52.4,92.5,109.0,130.0,152.0,180.0
Хабаровск,55.9,66.7,97.6,135.0,166.0,211.0,253.0,316.0
Оренбург,30.7,37.8,68.9,88.7,114.0,135.0,157.0,178.0
Новокузнецк,25.0,29.7,74.9,134.0,183.0,209.0,234.0,264.0
Кемерово,26.6,30.1,74.1,98.8,128.0,147.0,170.0,197.0
Рязань,40.9,49.1,89.4,119.0,159.0,192.0,241.0,274.0
Томск,42.9,49.7,84.8,112.0,128.0,145.0,162.0,179.0
Астрахань,18.6,25.5,49.0,67.6,124.0,164.0,204.0,265.0
Пенза,34.4,40.1,79.1,110.0,135.0,171.0,209.0,262.0
Набережные Челны,25.5,30.6,67.4,102.0,139.0,167.0,196.0,231.0
Липецк,43.4,51.0,82.8,116.0,139.0,169.0,206.0,257.0
Тула,45.4,53.4,85.0,116.0,147.0,174.0,200.0,234.0
Киров,32.1,40.7,72.8,115.0,152.0,189.0,225.0,276.0
Чебоксары,39.8,49.0,79.8,108.0,120.0,151.0,182.0,228.0
Улан-Удэ,19.9,24.1,40.7,70.7,99.6,124.0,151.0,190.0
Калининград,53.0,66.5,80.9,114.0,163.0,203.0,246.0,306.0
Брянск,79.2,86.7,106.0,138.0,174.0,217.0,263.0,329.0
Курск,51.7,72.0,106.0,144.0,186.0,244.0,313.0,404.0
Иваново,46.9,51.9,82.5,109.0,149.0,183.0,222.0,275.0
Магнитогорск,22.2,23.7,48.5,756.0,122.0,163.0,219.0,307.0
Тверь,41.0,47.9,82.4,98.0,137.0,161.0,185.0,220.0
Ставрополь,43.4,53.6,80.7,107.0,152.0,178.0,204.0,237.0
Севастополь,37.4,48.1,83.8,104.0,136.0,163.0,187.0,224.0
Нижний Тагил,36.2,45.8,81.3,98.6,124.0,145.0,167.0,195.0
Белгород,54.9,68.6,109.0,140.0,167.0,204.0,237.0,284.0
Архангельск,19.9,24.1,57.5,94.8,123.0,145.0,173.0,208.0
Владимир,45.4,60.1,99.8,130.0,171.0,204.0,237.0,278.0
Сочи,91.6,110.0,143.0,193.0,251.0,300.0,346.0,407.0
Курган,16.2,21.6,51.5,84.8,107.0,140.0,174.0,220.0
Симферополь,58.0,66.2,101.0,127.0,152.0,192.0,237.0,304.0
Смоленск,53.6,62.6,89.6,109.0,128.0,151.0,167.0,190.0
Калуга,58.7,66.7,105.0,145.0,189.0,234.0,276.0,310.0
Чита,0.0,40.9,68.0,85.8,108.0,133.0,170.0,233.0
Саранск,41.5,48.8,87.6,111.0,170.0,221.0,282.0,373.0
Орёл,60.3,71.6,98.0,130.0,182.0,232.0,290.0,375.0
Волжский,17.9,22.4,62.0,96.6,126.0,152.0,174.0,207.0
Череповец,26.0,33.2,78.3,92.1,131.0,150.0,170.0,193.0
Владикавказ,47.3,59.8,104.0,148.0,209.0,266.0,320.0,396.0
Мурманск,11.5,14.4,26.6,49.4,85.5,101.0,117.0,140.0
Сургут,21.1,25.1,50.0,80.3,128.0,149.0,170.0,197.0
Вологда,28.5,31.7,72.5,86.5,124.0,150.0,180.0,222.0
Тамбов,48.5,56.1,92.7,124.0,139.0,159.0,179.0,206.0
Стерлитамак,41.7,49.0,74.0,93.3,121.0,141.0,161.0,188.0
Грозный,39.8,52.3,89.3,121.0,171.0,209.0,250.0,304.0
Якутск,14.5,19.3,37.7,62.7,81.8,102.0,118.0,144.0
Кострома,39.5,49.4,82.5,105.0,145.0,176.0,202.0,244.0
