city,district,n_P>1,n_P<1,mr,y
Москва,Район: Равнинные области запада и центра Европейской части России,0.71,0.59,150,1.54
Санкт-Петербург,Район: Север Европейской части России и Западной Сибири,0.62,0.48,120,1.33
Новосибирск,"Район: Южная часть Западной Сибири (на расширенной карте СНГ район обозначен как «Южная часть Западной Сибири, среднее течение р. Или, район оз. Але-Куль»)",0.72,0.58,80,1.54
Екатеринбург,Район: Равнинные области запада и центра Европейской части России,0.71,0.59,150,1.54
Нижний Новгород,Район: Равнинные области запада и центра Европейской части России,0.71,0.59,150,1.54
Казань,"Район: Возвышенности Европейской части России, западный склон Урала",0.71,0.59,150,1.54
Самара,"Район: Возвышенности Европейской части России, западный склон Урала",0.71,0.59,150,1.54
Омск,"Район: Южная часть Западной Сибири (на расширенной карте СНГ район обозначен как «Южная часть Западной Сибири, среднее течение р. Или, район оз. Але-Куль»)",0.72,0.58,80,1.54
Челябинск,Район: Север Европейской части России и Западной Сибири,0.62,0.48,120,1.33
Ростов-на-Дону,"Район: Низовье Волги и Дона (на расширенной карте СНГ район обозначен как «Восток Украины, низовье Волги и Дона, Южный Крым»)",0.67,0.57,60,1.82
Уфа,Район: Равнинные области запада и центра Европейской части России,0.71,0.59,150,1.54
Волгоград,Район: Равнинные области запада и центра Европейской части России,0.71,0.59,150,1.54
Пермь,Район: Равнинные области запада и центра Европейской части России,0.71,0.59,150,1.54
Красноярск,Район: Средняя Сибирь,0.69,0.47,130,1.54
Воронеж,Район: Равнинные области запада и центра Европейской части России,0.71,0.59,150,1.54
Саратов,Район: Равнинные области запада и центра Европейской части России,0.71,0.59,150,1.54
Краснодар,Район: Наветренные склоны возвышенностей Европейской части Росии и Северное Предкавказье,0.7,0.66,70,1.54
Тольятти,"Район: Возвышенности Европейской части России, западный склон Урала",0.71,0.59,150,1.54
Барнаул,"Район: Южная часть Западной Сибири (на расширенной карте СНГ район обозначен как «Южная часть Западной Сибири, среднее течение р. Или, район оз. Але-Куль»)",0.72,0.58,80,1.54
