city,ha
Москва,7.25
Санкт-Петербург,7.25
Новосибирск,5.41
Екатеринбург,5.41
Нижний Новгород,6.39
Казань,6.16
Самара,6.86
Омск,5.58
Челябинск,5.58
Ростов-на-Дону,7.72
Уфа,7.72
Волгоград,7.72
Пермь,5.98
Красноярск,5.91
Воронеж,5.91
Саратов,5.91
Краснодар,5.91
Тольятти,6.08
Барнаул,6.08
Ижевск,6.08
Ульяновск,6.66
Владивосток,6.66
Ярославль,6.49
Иркутск,6.49
Тюмень,6.49
Махачкала,6.49
Хабаровск,6.49
Оренбург,6.49
Новокузнецк,6.49
Кемерово,6.49
Рязань,6.79
Томск,6.79
Астрахань,6.79
Пенза,6.79
Набережные Челны,6.79
Липецк,6.79
Тула,6.79
Киров,6.19
Чебоксары,6.19
Улан-Удэ,6.19
Калининград,6.19
Брянск,6.19
Курск,6.19
Иваново,6.49
Магнитогорск,6.44
Тверь,6.44
Ставрополь,6.44
Севастополь,6.44
Нижний Тагил,6.44
Белгород,6.44
Архангельск,6.44
Владимир,6.44
Сочи,6.44
Курган,6.44
Симферополь,6.44
Смоленск,6.44
Калуга,6.44
Чита,8.04
Саранск,8.04
Орёл,8.04
Волжский,8.04
Череповец,8.04
Владикавказ,8.04
Мурманск,8.04
Сургут,8.04
Вологда,8.04
Тамбов,6.78
Стерлитамак,6.78
Грозный,6.78
Якутск,6.78
Кострома,6.49
Комсомольск-на-Амуре,6.49
Петрозаводск,6.49
Таганрог,6.49
Нижневартовск,6.49
Йошкар-Ола,6.49
Братск,6.49
Новороссийск,6.49
Дзержинск,6.49
Шахты,7.72
Нальчик,7.72
Орск,7.72
Сыктывкар,7.72
Нижнекамск,6.47
Ангарск,6.47
Старый Оскол,6.47
Великий Новгород,6.47
Балашиха,6.47
Благовещенск,6.47
Прокопьевск,6.47
Химки,6.47
Псков,6.47
Бийск,6.47
Энгельс,6.47
Рыбинск,6.47
Балаково,6.49
Северодвинск,6.49
Армавир,6.49
Подольск,6.49
Королёв,6.49
