
Давление насыщенного пара (абс) бар,Температура кипения (конденсации) °C,Объемная масса (обратная плотность) м3/кг,Плотность (пара) кг/м3,Удельная энтальпия жидкой воды кДж/кг,Удельная энтальпия жидкой воды кКал/кг,Удельная энтальпия пара кДж/кг,Удельная энтальпия пара кКал/кг,Удельная теплота парообразования (конденсации) кДж/кг,Удельная теплота парообразования (конденсации) кКал/кг,Теплоемкость пара кДж/(кг*°C),Динамическаявязкость пара кг/(м*с)
0.02,17.51,67.006,0.015,73.45,17.54,2533.64,605.15,2460.19,587.61,1.8644,0.000010 
0.02,24.10,45.667,0.022,101.00,24.12,2545.64,608.02,2444.65,583.89,1.8694,0.000010
0.04,28.98,34.802,0.029,121.41,29.00,2554.51,610.13,2433.10,581.14,1.8736,0.000010
0.05,32.90,28.194,0.035,137.77,32.91,2561.59,611.83,2423.82,578.92,1.8774,0.000010
0.06,36.18,23.741,0.042,151.50,36.19,2567.51,613.24,2416.01,577.05,1.8808,0.000010
0.07,39.02,20.531,0.049,163.38,39.02,2572.62,614.46,2409.24,575.44,1.8840,0.000010
0.08,41.53,18.105,0.055,173.87,41.53,2577.11,615.53,2403.25,574.01,1.8871,0.000010
0.09,43.79,16.204,0.062,183.28,43.78,2581.14,616.49,2397.85,572.72,1.8899,0.000010
0.1,45.83,14.675,0.068,191.84,45.82,2584.78,617.36,2392.94,571.54,1.8927,0.000010 
0.2,60.09,7.650,0.131,251.46,60.06,2609.86,623.35,2358.40,563.30,1.9156,0.000011  
0.3,69.13,5.229,0.191,289.31,69.10,2625.43,627.07,2336.13,557.97,1.9343,0.000011
0.4,75.89,3.993,0.250,317.65,75.87,2636.88,629.81,2319.23,553.94,1.9506,0.000011
0.5,81.35,3.240,0.309,340.57,81.34,2645.99,631.98,2305.42,550.64,1.9654,0.000012
0.6,85.95,2.732,0.366,359.93,85.97,2653.57,633.79,2293.64,547.83,1.9790,0.000012
0.7,89.96,2.365,0.423,376.77,89.99,2660.07,635.35,2283.30,545.36,1.9919,0.000012
0.8,93.51,2.087,0.479,391.73,93.56,2665.77,636.71,2274.05,543.15,2.0040,0.000012
0.9,96.71,1.869,0.535,405.21,96.78,2670.85,637.92,2265.65,541.14,2.0156,0.000012
1,99.63,1.694,0.590,417.51,99.72,2675.43,639.02,2257.92,539.30,2.0267,0.000012
1.1,102.32,1.549,0.645,428.84,102.43,2679.61,640.01,2250.76,537.59,2.0373,0.000012
1.2,104.81,1.428,0.700,439.36,104.94,2683.44,640.93,2244.08,535.99,2.0476,0.000012
1.3,107.13,1.325,0.755,449.19,107.29,2686.98,641.77,2237.79,534.49,2.0576,0.000013
1.4,109.32,1.236,0.809,458.42,109.49,2690.28,642.56,2231.86,533.07,2.0673,0.000013
1.5,111.37,1.159,0.863,467.13,111.57,2693.36,643.30,2226.23,531.73,2.0768,0.000013
1.5,111.37,1.159,0.863,467.13,111.57,2693.36,643.30,2226.23,531.73,2.0768,0.000013
1.6,113.32,1.091,0.916,475.38,113.54,2696.25,643.99,2220.87,530.45,2.0860,0.000013
1.7,115.17,1.031,0.970,483.22,115.42,2698.97,644.64,2215.75,529.22,2.0950,0.000013
1.8,116.93,0.977,1.023,490.70,117.20,2701.54,645.25,2210.84,528.05,2.1037,0.000013
1.9,118.62,0.929,1.076,497.85,118.91,2703.98,645.83,2206.13,526.92,2.1124,0.000013
2,120.23,0.885,1.129,504.71,120.55,2706.29,646.39,2201.59,525.84,2.1208,0.000013
2.2,123.27,0.810,1.235,517.63,123.63,2710.60,647.42,2192.98,523.78,2.1372,0.000013
2.4,126.09,0.746,1.340,529.64,126.50,2714.55,648.36,2184.91,521.86,2.1531,0.000013
2.6,128.73,0.693,1.444,540.88,129.19,2718.17,649.22,2177.30,520.04,2.1685,0.000013
2.8,131.20,0.646,1.548,551.45,131.71,2721.54,650.03,2170.08,518.32,2.1835,0.000013
3,133.54,0.606,1.651,561.44,134.10,2724.66,650.77,2163.22,516.68,2.1981,0.000013
3.5,138.87,0.524,1.908,584.28,139.55,2731.63,652.44,2147.35,512.89,2.2331,0.000014
4,143.63,0.462,2.163,604.68,144.43,2737.63,653.87,2132.95,509.45,2.2664,0.000014
4.5,147.92,0.414,2.417,623.17,148.84,2742.88,655.13,2119.71,506.29,2.2983,0.000014
5,151.85,0.375,2.669,640.12,152.89,2747.54,656.24,2107.42,503.35,2.3289,0.000014
5.5,155.47,0.342,2.920,655.81,156.64,2751.70,657.23,2095.90,500.60,2.3585,0.000014
6,158.84,0.315,3.170,670.43,160.13,2755.46,658.13,2085.03,498.00,2.3873,0.000014
6.5,161.99,0.292,3.419,684.14,163.40,2758.87,658.94,2074.73,495.54,2.4152,0.000014
7,164.96,0.273,3.667,697.07,166.49,2761.98,659.69,2064.92,493.20,2.4424,0.000015
7.5,167.76,0.255,3.915,709.30,169.41,2764.84,660.37,2055.53,490.96,2.4690,0.000015
8,170.42,0.240,4.162,720.94,172.19,2767.46,661.00,2046.53,488.80,2.4951,0.000015
8.5,172.94,0.227,4.409,732.03,174.84,2769.89,661.58,2037.86,486.73,2.5206,0.000015
9,175.36,0.215,4.655,742.64,177.38,2772.13,662.11,2029.49,484.74,2.5456,0.000015
9.5,177.67,0.204,4.901,752.82,179.81,2774.22,662.61,2021.40,482.80,2.5702,0.000015
10,179.88,0.194,5.147,762.60,182.14,2776.16,663.07,2013.56,480.93,2.5944,0.000015
11,184.06,0.177,5.638,781.11,186.57,2779.66,663.91,1998.55,477.35,2.6418,0.000015
12,187.96,0.163,6.127,798.42,190.70,2782.73,664.64,1984.31,473.94,2.6878,0.000015
13,191.60,0.151,6.617,814.68,194.58,2785.42,665.29,1970.73,470.70,2.7327,0.000015
14,195.04,0.141,7.106,830.05,198.26,2787.79,665.85,1957.73,467.60,2.7767,0.000016
15,198.28,0.132,7.596,844.64,201.74,2789.88,666.35,1945.24,464.61,2.8197,0.000016
16,201.37,0.124,8.085,858.54,205.06,2791.73,666.79,1933.19,461.74,2.8620,0.000016
17,204.3,0.117,8.575,871.82,208.23,2793.37,667.18,1921.55,458.95,2.9036,0.000016
18,207.11,0.11,9.065,884.55,211.27,2794.81,667.53,1910.27,456.26,2.9445,0.000016
19,209.79,0.105,9.556,896.78,214.19,2796.09,667.83,1899.31,453.64,2.9849,0.000016
20,212.37,0.1,10.047,908.56,217.01,2797.21,668.1,1888.65,451.1,3.0248,0.000016
21,214.85,0.095,10.539,919.93,219.72,2798.18,668.33,1878.25,448.61,3.0643,0.000016
22,217.24,0.091,11.032,930.92,222.35,2799.03,668.54,1868.11,446.19,3.1034,0.000016
23,219.55,0.087,11.525,941.57,224.89,2799.77,668.71,1858.2,443.82,3.1421,0.000016
24,221.78,0.083,12.02,951.9,227.36,2800.39,668.86,1848.49,441.5,3.1805,0.000017
25,223.94,0.08,12.515,961.93,229.75,2800.91,668.99,1838.98,439.23,3.2187,0.000017
26,226.03,0.077,13.012,971.69,232.08,2801.35,669.09,1829.66,437.01,3.2567,0.000017
27,228.06,0.074,13.509,981.19,234.35,2801.69,669.17,1820.5,434.82,3.2944,0.000017
28,230.04,0.071,14.008,990.46,236.57,2801.96,669.24,1811.5,432.67,3.332,0.000017
29,231.96,0.069,14.508,999.5,238.73,2802.15,669.28,1802.65,430.56,3.3695,0.000017
30,233.84,0.067,15.009,1008.33,240.84,2802.27,669.31,1793.94,428.48,3.4069,0.000017
30,233.84,0.067,15.009,1008.33,240.84,2802.27,669.31,1793.94,428.48,3.4069,0.000017
31,235.66,0.064,15.512,1016.97,242.9,2802.33,669.32,1785.36,426.43,3.4442,0.000017
32,237.44,0.062,16.016,1025.41,244.92,2802.32,669.32,1776.9,424.41,3.4815,0.000017
33,239.18,0.061,16.521,1033.69,246.89,2802.25,669.31,1768.56,422.41,3.5187,0.000017
34,240.88,0.059,17.028,1041.79,248.83,2802.12,669.28,1760.33,420.45,3.5559,0.000017
35,242.54,0.057,17.536,1049.74,250.73,2801.95,669.23,1752.2,418.51,3.5932,0.000017
36,244.16,0.055,18.046,1057.54,252.59,2801.72,669.18,1744.17,416.59,3.6305,0.000017
37,245.75,0.054,18.557,1065.21,254.42,2801.44,669.11,1736.24,414.69,3.6679,0.000017
38,247.31,0.052,19.07,1072.73,256.22,2801.12,669.04,1728.39,412.82,3.7054,0.000017
39,248.84,0.051,19.585,1080.13,257.98,2800.75,668.95,1720.62,410.96,3.7429,0.000018
40,250.33,0.05,20.101,1087.4,259.72,2800.34,668.85,1712.94,409.13,3.7806,0.000018
41,251.8,0.048,20.619,1094.56,261.43,2799.89,668.74,1705.33,407.31,3.8185,0.000018
42,253.24,0.047,21.138,1101.61,263.12,2799.4,668.62,1697.79,405.51,3.8565,0.000018
43,254.66,0.046,21.66,1108.55,264.77,2798.87,668.5,1690.32,403.73,3.8946,0.000018
44,256.05,0.045,22.183,1115.39,266.41,2798.3,668.36,1682.91,401.96,3.9329,0.000018
45,257.41,0.044,22.708,1122.13,268.02,2797.7,668.22,1675.57,400.2,3.9715,0.000018
46,258.76,0.043,23.235,1128.78,269.6,2797.07,668.07,1668.29,398.46,4.0102,0.000018
47,260.08,0.042,23.763,1135.33,271.17,2796.4,667.91,1661.06,396.74,4.0492,0.000018
48,261.38,0.041,24.294,1141.8,272.71,2795.69,667.74,1653.89,395.03,4.0884,0.000018
49,262.66,0.04,24.827,1148.19,274.24,2794.96,667.57,1646.77,393.32,4.1279,0.000018
50,263.92,0.039,25.362,1154.5,275.75,2794.2,667.38,1639.7,391.64,4.1676,0.000018
51,265.16,0.039,25.898,1160.73,277.23,2793.41,667.19,1632.68,389.96,4.2076,0.000018
52,266.38,0.038,26.437,1166.88,278.7,2792.58,667,1625.7,388.29,4.2479,0.000018
53,267.58,0.037,26.978,1172.97,280.16,2791.74,666.79,1618.77,386.64,4.2885,0.000018
54,268.77,0.036,27.521,1178.98,281.59,2790.86,666.59,1611.88,384.99,4.3294,0.000018
55,269.94,0.036,28.067,1184.93,283.02,2789.95,666.37,1605.03,383.35,4.3706,0.000018
56,271.09,0.035,28.614,1190.81,284.42,2789.02,666.15,1598.21,381.73,4.4122,0.000018
57,272.23,0.034,29.164,1196.64,285.81,2788.07,665.92,1591.43,380.11,4.4541,0.000018
58,273.36,0.034,29.716,1202.4,287.19,2787.09,665.68,1584.69,378.5,4.4963,0.000019
59,274.47,0.033,30.27,1208.1,288.55,2786.08,665.44,1577.98,376.89,4.5389,0.000019
60,275.56,0.032,30.827,1213.75,289.9,2785.05,665.2,1571.31,375.3,4.5819,0.000019
61,276.64,0.032,31.386,1219.34,291.23,2784,664.95,1564.66,373.71,4.6253,0.000019
62,277.71,0.031,31.947,1224.88,292.56,2782.92,664.69,1558.04,372.13,4.6691,0.000019
63,278.76,0.031,32.511,1230.37,293.87,2781.82,664.43,1551.45,370.56,4.7133,0.000019
64,279.8,0.03,33.077,1235.81,295.17,2780.7,664.16,1544.89,368.99,4.7578,0.000019
65,280.83,0.03,33.646,1241.2,296.45,2779.55,663.89,1538.36,367.43,4.8029,0.000019
66,281.85,0.029,34.218,1246.54,297.73,2778.39,663.61,1531.85,365.88,4.8483,0.000019
67,282.85,0.029,34.792,1251.84,299,2777.2,663.32,1525.36,364.33,4.8943,0.000019
68,283.85,0.028,35.368,1257.09,300.25,2775.99,663.03,1518.9,362.78,4.9407,0.000019
69,284.83,0.028,35.948,1262.31,301.5,2774.76,662.74,1512.45,361.24,4.9875,0.000019
70,285.8,0.027,36.529,1267.48,302.73,2773.51,662.44,1506.03,359.71,5.0348,0.000019
71,286.76,0.027,37.114,1272.61,303.96,2772.24,662.14,1499.63,358.18,5.0827,0.000019
72,287.71,0.027,37.702,1277.7,305.17,2770.95,661.83,1493.25,356.66,5.131,0.000019
73,288.65,0.026,38.292,1282.75,306.38,2769.64,661.52,1486.89,355.14,5.1798,0.000019
74,289.59,0.026,38.885,1287.77,307.58,2768.31,661.2,1480.54,353.62,5.2292,0.000019
75,290.51,0.025,39.481,1292.75,308.77,2766.97,660.88,1474.21,352.11,5.2791,0.000019
76,291.42,0.025,40.08,1297.7,309.95,2765.6,660.55,1467.9,350.6,5.3295,0.000019
77,292.32,0.025,40.681,1302.61,311.12,2764.22,660.22,1461.61,349.1,5.3805,0.000019
78,293.22,0.024,41.286,1307.49,312.29,2762.81,659.89,1455.32,347.6,5.4321,0.000019
79,294.1,0.024,41.894,1312.34,313.45,2761.39,659.55,1449.06,346.1,5.4843,0.000019
80,294.98,0.024,42.505,1317.15,314.6,2759.95,659.2,1442.8,344.61,5.537,0.000019
81,295.85,0.023,43.118,1321.94,315.74,2758.5,658.86,1436.56,343.12,5.5904,0.00002
82,296.71,0.023,43.735,1326.7,316.88,2757.03,658.5,1430.33,341.63,5.6443,0.00002
83,297.56,0.023,44.356,1331.42,318.01,2755.54,658.15,1424.11,340.14,5.6989,0.00002
84,298.4,0.022,44.979,1336.12,319.13,2754.03,657.79,1417.91,338.66,5.7542,0.00002
85,299.24,0.022,45.606,1340.79,320.24,2752.5,657.42,1411.71,337.18,5.8101,0.00002
86,300.07,0.022,46.235,1345.44,321.35,2750.97,657.06,1405.52,335.7,5.8666,0.00002
87,300.89,0.021,46.869,1350.06,322.46,2749.41,656.68,1399.35,334.23,5.9239,0.00002
88,301.71,0.021,47.505,1354.66,323.55,2747.84,656.31,1393.18,332.76,5.9818,0.00002
89,302.51,0.021,48.146,1359.22,324.65,2746.25,655.93,1387.02,331.28,6.0404,0.00002
90,303.31,0.02,48.789,1363.77,325.73,2744.64,655.55,1380.87,329.82,6.0998,0.00002
91,304.11,0.02,49.436,1368.29,326.81,2743.02,655.16,1374.73,328.35,6.1599,0.00002
92,304.89,0.02,50.087,1372.8,327.89,2741.39,654.77,1368.59,326.88,6.2208,0.00002
93,305.67,0.02,50.741,1377.27,328.96,2739.73,654.37,1362.46,325.42,6.2825,0.00002
94,306.45,0.019,51.399,1381.73,330.02,2738.07,653.98,1356.34,323.96,6.345,0.00002
95,307.22,0.019,52.061,1386.17,331.08,2736.38,653.57,1350.22,322.49,6.4083,0.00002
96,307.98,0.019,52.726,1390.58,332.13,2734.69,653.17,1344.11,321.03,6.4725,0.00002
97,308.73,0.019,53.396,1394.98,333.18,2732.98,652.76,1338,319.57,6.5376,0.00002
98,309.48,0.018,54.069,1399.35,334.23,2731.24,652.35,1331.89,318.12,6.6036,0.00002
99,310.22,0.018,54.746,1403.71,335.27,2729.5,651.93,1325.79,316.66,6.6705,0.00002
100,310.96,0.018,55.427,1408.05,336.31,2727.74,651.51,1319.69,315.2,6.7385,0.00002
